timestamp,price,rsi,volume,ema_fast,ema_slow,ema_trend,trend_direction,signal,in_position,position_side,unrealized_pnl_pct,pending_signal
2026-06-04T06:54:07.457972,64094.0,15.23,3417.966540,68002.56,70959.71,75454.24,bearish,,False,,0.0000,
2026-06-04T07:24:17.958861,63560.0,14.49,4078.394520,67954.01,70938.77,75448.93,bearish,,False,,0.0000,
2026-06-04T07:54:18.364408,63791.04,14.80,4866.550910,67975.02,70947.83,75451.23,bearish,,False,,0.0000,
2026-06-04T08:24:18.836833,63420.0,14.92,602.468310,67545.40,70645.57,75373.19,bearish,,False,,0.0000,
2026-06-04T08:54:24.427572,63638.26,15.46,1501.286380,67565.24,70654.13,75375.36,bearish,,False,,0.0000,
2026-06-04T08:56:20.474781,63628.0,15.38,1527.209080,67564.31,70653.73,75375.26,bearish,,False,,0.0000,
2026-06-04T09:26:30.189067,62928.0,14.26,2360.869630,67500.67,70626.28,75368.29,bearish,,False,,0.0000,
2026-06-04T09:56:30.628134,63115.99,14.51,3798.434990,67517.76,70633.65,75370.16,bearish,,False,,0.0000,
2026-06-04T10:26:31.057572,62743.77,14.03,4610.452030,67483.92,70619.05,75366.46,bearish,,False,,0.0000,
2026-06-04T10:56:31.444768,62317.17,13.53,6866.722030,67445.14,70602.32,75362.21,bearish,,False,,0.0000,
2026-06-04T11:26:31.925968,62562.9,13.81,7647.214700,67467.48,70611.96,75364.66,bearish,,False,,0.0000,
2026-06-04T11:56:32.312960,62514.71,13.76,8540.260860,67463.10,70610.07,75364.18,bearish,,False,,0.0000,
2026-06-04T12:26:32.971666,63153.08,19.40,713.226470,67073.86,70318.79,75200.33,bearish,,False,,0.0000,
2026-06-04T12:56:33.607117,63762.66,23.50,1697.972880,67129.28,70342.70,75206.40,bearish,,False,,0.0000,
2026-06-04T13:26:44.482733,63234.91,19.98,2313.200280,67081.30,70322.00,75201.14,bearish,,False,,0.0000,
2026-06-04T13:56:44.874677,63954.0,24.70,3703.170380,67146.67,70350.20,75208.30,bearish,,False,,0.0000,
2026-06-04T14:26:45.272361,64069.99,25.41,4644.888290,67157.22,70354.75,75209.45,bearish,,False,,0.0000,
2026-06-04T14:56:45.669121,63898.0,24.35,5095.941860,67141.58,70348.00,75207.74,bearish,,False,,0.0000,
2026-06-04T15:26:46.064682,64002.0,25.00,5727.851640,67151.04,70352.08,75208.78,bearish,,False,,0.0000,
2026-06-04T15:56:46.477050,63745.99,23.39,6140.587000,67127.76,70342.04,75206.23,bearish,,False,,0.0000,
2026-06-04T16:26:46.857157,63686.0,25.27,295.431160,66827.29,70086.68,75085.43,bearish,,False,,0.0000,
2026-06-04T16:56:47.523817,63551.35,24.99,753.625920,66815.05,70081.40,75084.09,bearish,,False,,0.0000,
2026-06-04T17:26:57.916366,63251.89,24.37,1178.199560,66787.82,70069.65,75081.11,bearish,,False,,0.0000,
2026-06-04T17:56:58.302059,63487.05,24.85,1758.416470,66809.20,70078.87,75083.45,bearish,,False,,0.0000,
2026-06-04T18:26:58.735413,63631.13,25.16,2228.226990,66822.30,70084.52,75084.88,bearish,,False,,0.0000,
2026-06-04T18:56:59.136739,63914.01,25.85,2994.637760,66848.02,70095.62,75087.69,bearish,,False,,0.0000,
2026-06-04T19:25:43.062340,64000.68,26.41,3339.027340,66855.90,70099.02,75088.56,bearish,,False,,0.0000,
2026-06-04T19:55:53.338087,63568.01,25.02,3672.306370,66816.56,70082.05,75084.25,bearish,,False,,0.0000,
2026-06-04T20:25:53.740677,63326.61,29.87,355.546600,66504.37,69819.47,75016.76,bearish,,False,,0.0000,
2026-06-04T20:55:54.144284,63592.27,30.70,726.441010,66528.52,69829.89,75019.40,bearish,,False,,0.0000,
2026-06-04T21:25:54.546408,63592.28,30.70,1260.663680,66528.52,69829.89,75019.40,bearish,,False,,0.0000,
2026-06-04T21:55:54.927205,63281.3,29.74,1713.243810,66500.25,69817.69,75016.31,bearish,,False,,0.0000,
2026-06-04T22:25:55.317744,63368.06,30.00,2132.775810,66508.13,69821.09,75017.17,bearish,,False,,0.0000,
2026-06-04T22:55:55.689741,63630.23,30.82,2488.574010,66531.97,69831.38,75019.78,bearish,,False,,0.0000,
2026-06-04T23:25:56.346212,63439.99,30.22,2799.249690,66514.67,69823.92,75017.89,bearish,,False,,0.0000,
2026-06-04T23:56:06.943272,63915.91,32.83,3064.122500,66557.94,69842.58,75022.62,bearish,,False,,0.0000,
2026-06-05T00:26:07.346911,63731.14,32.04,338.127310,66298.48,69601.78,74893.42,bearish,,False,,0.0000,
2026-06-05T00:56:07.802500,63478.0,31.25,758.209180,66275.47,69591.85,74890.90,bearish,,False,,0.0000,
2026-06-05T01:26:08.200888,63288.15,30.68,1278.648760,66258.21,69584.41,74889.02,bearish,,False,,0.0000,
2026-06-05T01:56:08.582407,63354.79,30.88,1669.281530,66264.27,69587.02,74889.68,bearish,,False,,0.0000,
2026-06-05T02:26:08.975886,62894.0,29.56,2373.913430,66222.38,69568.95,74885.09,bearish,,False,,0.0000,
