timestamp,price,rsi,volume,ema_fast,ema_slow,ema_trend,trend_direction,signal,in_position,position_side,unrealized_pnl_pct,pending_signal
2026-05-20T06:16:07.568415,77270.01,48.01,1493.333530,77396.56,78375.20,77904.77,weak_bearish,,False,,0.0000,
2026-05-20T06:46:17.597504,77300.01,48.34,1749.286580,77399.28,78376.37,77905.07,weak_bearish,,False,,0.0000,
2026-05-20T07:16:18.204172,77357.5,48.96,1994.567910,77404.51,78378.63,77905.64,weak_bearish,,False,,0.0000,
2026-05-20T07:46:18.868254,77337.74,48.74,2139.151680,77402.71,78377.85,77905.44,weak_bearish,,False,,0.0000,
2026-05-20T08:16:19.526755,77274.83,54.17,87.226120,77386.53,78332.51,77878.22,weak_bearish,,False,,0.0000,
2026-05-20T08:46:20.770354,77534.52,56.87,442.999410,77410.14,78342.69,77880.81,weak_bearish,,False,,0.0000,
2026-05-20T09:16:23.517258,77402.65,55.55,655.072780,77398.15,78337.52,77879.49,weak_bearish,,False,,0.0000,
2026-05-20T09:46:24.204679,77500.01,56.53,841.376510,77407.01,78341.34,77880.46,weak_bearish,,False,,0.0000,
2026-05-20T10:16:27.861511,77578.99,57.30,1032.678030,77414.19,78344.44,77881.25,weak_bearish,,False,,0.0000,
2026-05-20T10:46:38.634190,77555.33,57.07,1262.470800,77412.03,78343.51,77881.01,weak_bearish,,False,,0.0000,
2026-05-20T11:16:39.266254,77494.74,56.48,1471.352030,77406.53,78341.13,77880.41,weak_bearish,,False,,0.0000,
2026-05-20T11:46:39.895666,77391.68,55.44,1626.739310,77397.16,78337.09,77879.39,weak_bearish,,False,,0.0000,
2026-05-20T12:16:40.516250,77474.54,54.74,77.231270,77403.43,78302.92,77868.90,weak_bearish,,False,,0.0000,
2026-05-20T12:46:41.152753,77546.54,55.50,191.897370,77409.98,78305.74,77869.62,weak_bearish,,False,,0.0000,
2026-05-20T12:55:36.453144,77608.35,56.13,242.346160,77415.60,78308.16,77870.23,weak_bearish,,False,,0.0000,
2026-05-20T13:25:47.183083,77396.58,53.89,515.554830,77396.35,78299.86,77868.13,weak_bearish,,False,,0.0000,
2026-05-20T13:55:53.796050,77077.16,50.04,1025.820330,77367.31,78287.33,77864.95,weak_bearish,,False,,0.0000,
2026-05-20T14:26:04.673547,77371.48,53.59,1858.521850,77394.06,78298.87,77867.88,weak_bearish,,False,,0.0000,
2026-05-20T14:56:05.081702,77543.61,55.47,2230.149550,77409.71,78305.62,77869.59,weak_bearish,,False,,0.0000,
2026-05-20T15:26:05.458993,77591.07,55.95,2736.939380,77414.03,78307.49,77870.06,weak_bearish,,False,,0.0000,
2026-05-20T15:56:05.912560,77503.28,55.04,2996.717500,77406.05,78304.04,77869.19,weak_bearish,,False,,0.0000,
2026-05-20T16:26:06.295682,77176.32,48.72,165.291780,77381.21,78258.02,77860.97,weak_bearish,,False,,0.0000,
2026-05-20T16:56:06.677701,77274.92,49.87,383.535640,77390.17,78261.88,77861.95,weak_bearish,,False,,0.0000,
2026-05-20T17:26:07.060097,77507.97,52.74,571.603540,77411.36,78271.02,77864.27,weak_bearish,,False,,0.0000,
2026-05-20T17:56:07.709515,77545.92,53.18,856.463520,77414.81,78272.51,77864.65,weak_bearish,,False,,0.0000,
2026-05-20T18:26:17.093841,77463.15,52.21,1202.966940,77407.28,78269.26,77863.82,weak_bearish,,False,,0.0000,
2026-05-20T18:56:17.522857,77461.01,52.19,1312.344700,77407.09,78269.18,77863.80,weak_bearish,,False,,0.0000,
2026-05-20T19:26:17.909600,77519.16,52.87,1530.258910,77412.38,78271.46,77864.38,weak_bearish,,False,,0.0000,
2026-05-20T19:56:18.291497,77667.08,54.53,1695.464980,77425.82,78277.26,77865.85,weak_bearish,,False,,0.0000,
2026-05-20T20:26:18.959833,77597.44,67.45,245.903960,77441.46,78250.63,77876.99,weak_bearish,,False,,0.0000,
2026-05-20T20:56:19.340242,77715.77,69.31,347.390620,77452.22,78255.27,77878.17,weak_bearish,,False,,0.0000,SHORT_WAIT_0/12
2026-05-20T21:26:19.963656,77644.97,68.40,429.471330,77445.78,78252.49,77877.46,weak_bearish,,False,,0.0000,SHORT_WAIT_1/12
2026-05-20T21:56:20.618224,77582.55,67.16,503.942260,77440.11,78250.04,77876.84,weak_bearish,,False,,0.0000,SHORT_WAIT_2/12
2026-05-20T22:26:21.009583,77379.35,63.39,786.430110,77421.63,78242.07,77874.82,weak_bearish,,False,,0.0000,SHORT_WAIT_3/12
2026-05-20T22:56:21.398450,77477.08,65.15,876.824710,77430.52,78245.91,77875.79,weak_bearish,,False,,0.0000,SHORT_WAIT_4/12
2026-05-20T23:26:21.776628,77431.3,64.31,992.767130,77426.36,78244.11,77875.34,weak_bearish,,False,,0.0000,SHORT_WAIT_5/12
2026-05-20T23:56:22.169805,77548.42,66.49,1071.874320,77437.00,78248.70,77876.50,weak_bearish,,False,,0.0000,SHORT_WAIT_6/12
2026-05-21T00:26:22.773752,77696.3,62.49,218.518190,77460.89,78227.23,77956.16,weak_bearish,,False,,0.0000,SHORT_WAIT_7/12
2026-05-21T00:56:23.171394,77995.31,65.82,509.134320,77488.07,78238.95,77959.13,neutral,,False,,0.0000,SHORT_WAIT_8/12
2026-05-21T01:26:23.565097,77837.51,64.14,823.374870,77473.73,78232.77,77957.56,weak_bearish,,False,,0.0000,SHORT_WAIT_9/12
2026-05-21T01:56:24.249666,77855.05,64.33,991.010310,77475.32,78233.45,77957.74,weak_bearish,,False,,0.0000,SHORT_WAIT_10/12
