timestamp,price,rsi,volume,ema_fast,ema_slow,ema_trend,trend_direction,signal,in_position,position_side,unrealized_pnl_pct,pending_signal
2026-05-14T13:00:35.826262,79738.03,42.59,534.198670,80171.27,80245.19,77352.29,neutral,,False,,0.0000,LONG_WAIT_1/12
2026-05-14T13:30:36.216389,79949.99,44.15,1067.572500,80190.54,80253.50,77354.40,neutral,,False,,0.0000,LONG_WAIT_2/12
2026-05-14T14:00:36.724003,79700.0,42.30,1544.246850,80167.81,80243.69,77351.92,neutral,,False,,0.0000,LONG_WAIT_3/12
2026-05-14T14:30:37.124595,80136.79,45.45,2130.528080,80207.52,80260.82,77356.26,neutral,,False,,0.0000,LONG_WAIT_4/12
2026-05-14T14:46:57.510719,80441.16,47.45,2513.017670,80235.19,80272.76,77359.29,neutral,,True,long,0.3798,
2026-05-14T15:16:57.919515,80930.18,50.37,4208.876000,80279.65,80291.94,77364.16,neutral,,True,long,0.9900,
2026-05-14T15:46:58.302727,81061.69,51.10,5078.137800,80291.60,80297.09,77365.46,neutral,,True,long,1.1542,
2026-05-14T16:16:58.701862,81439.6,53.55,996.435730,80415.76,80350.94,77446.29,weak_bullish,,True,long,1.6257,
2026-05-14T16:46:59.097551,81442.87,53.56,2070.261530,80416.06,80351.07,77446.33,weak_bullish,,True,long,1.6298,
2026-05-14T17:16:59.555372,81532.99,54.01,3629.132570,80424.25,80354.61,77447.22,weak_bullish,,True,long,1.7423,
2026-05-14T17:46:59.936977,81721.19,54.92,4513.418390,80441.36,80361.99,77449.10,weak_bullish,,True,long,1.9771,
2026-05-14T18:17:00.567575,81776.75,55.18,5011.766620,80446.41,80364.17,77449.65,bullish,,True,long,2.0465,
2026-05-14T18:47:01.285107,81577.13,54.23,5564.223320,80428.27,80356.34,77447.66,weak_bullish,,True,long,1.7974,
2026-05-14T19:06:33.488023,81672.0,54.69,5776.799250,80436.89,80360.06,77448.61,weak_bullish,,True,long,1.9157,
2026-05-14T19:36:34.145622,81383.85,53.26,6094.549250,80410.70,80348.76,77445.74,weak_bullish,,True,long,1.5562,
2026-05-14T20:06:35.457302,81506.0,56.61,75.822790,80513.24,80395.49,77484.47,bullish,,True,long,1.7086,
2026-05-14T20:36:36.055109,81217.03,54.91,312.809500,80486.97,80384.16,77481.60,bullish,,True,long,1.3480,
2026-05-14T21:06:36.609562,81419.1,56.18,519.543920,80505.34,80392.08,77483.61,bullish,,True,long,1.6002,
2026-05-14T21:36:37.167249,81460.05,56.39,663.852160,80509.06,80393.69,77484.01,bullish,,True,long,1.6513,
2026-05-14T22:06:37.854981,81448.53,56.33,819.306550,80508.01,80393.24,77483.90,bullish,,True,long,1.6369,
2026-05-14T22:36:38.388881,81492.52,56.55,938.674810,80512.01,80394.96,77484.34,bullish,,True,long,1.6918,
2026-05-14T23:06:39.292145,81332.98,55.63,1160.959170,80497.51,80388.71,77482.75,bullish,,True,long,1.4927,
2026-05-14T23:36:44.776465,81322.36,55.57,1427.861480,80496.54,80388.29,77482.64,bullish,,True,long,1.4794,
2026-05-15T00:06:47.782480,81200.0,52.10,81.326420,80541.29,80411.36,77501.72,bullish,,True,long,1.3267,
