timestamp,action,side,price,quantity,rsi,stop_loss,take_profit,reason,pnl_pct,pnl_usdt,balance_before,balance_after,trade_duration_mins,signal_confirmed,confirmation_time_mins,recovered
2025-07-10T10:51:56.636263,OPEN,long,110988.01,0.000276,38.1319291804531,108768.24979999999,115427.5304,RSI Oversold + Confirmación,,,613.64189896,,,YES,0,NO
2025-07-10T11:13:09.211295,CLOSE,long,111054.23,0.000276,53.19692680954312,,,"Cambio de Tendencia: Tendencia bajista: 1 períodos, -0.05%, drop desde max: 0.10%",0.05966410245575281,0.38399400704872133,,643.59303374,21.209583866666666,,0,
2025-07-10T12:27:28.711518,OPEN,long,110905.26,0.00029,38.37061548643275,108687.15479999999,115341.4704,RSI Oversold + Confirmación,,,643.59303374,,,YES,0,NO
2025-07-10T12:32:01.777378,CLOSE,long,110860.74,0.00029,34.282788676465,,,"Cambio de Tendencia: Tendencia bajista: 1 períodos, -0.05%, drop desde max: 0.08%",-0.04014237016349768,-0.2583534979503953,,643.59303374,4.551097666666666,,0,
2025-07-10T16:46:43.602984,OPEN,short,112546.15,0.000286,85.08034420687524,114797.07299999999,108044.30399999999,RSI Overbought + Confirmación,,,643.59303374,,,YES,0,NO
2025-07-10T16:50:46.242210,CLOSE,short,112588.0,0.000286,88.47537573769095,,,"Cambio de Tendencia: Tendencia alcista: 1 períodos, 0.04%, rise desde min: 0.08%",-0.037184745990872035,-0.22759607750262953,,612.06839374,4.0439871,,0,
2025-07-10T17:11:59.917400,OPEN,short,113187.07,0.00027,88.11470583287112,115450.8114,108659.58720000001,RSI Overbought + Confirmación,,,642.59840417,,,YES,0,NO
2025-07-10T17:12:30.652491,CLOSE,short,113279.99,0.00027,91.69847328244317,,,"Cambio de Tendencia: Tendencia alcista: 1 períodos, 0.08%, rise desde min: 0.08%",-0.08209418266591603,-0.5024269116106577,,612.01280687,0.5122515166666667,,0,
2025-07-10T17:27:40.312975,OPEN,short,113293.8,0.00027,81.28520742899066,115559.676,108762.048,RSI Overbought + Confirmación,,,642.57154085,,,YES,0,NO
2025-07-10T17:28:11.027715,CLOSE,short,113373.0,0.00027,83.92002783064243,,,"Cambio de Tendencia: Tendencia alcista: 1 períodos, 0.07%, rise desde min: 0.07%",-0.06990673805627236,-0.4278018550292974,,611.96083085,0.5119123333333333,,0,
